NewQuestion,WR,HTML,,
ID,Heymans example exam-1,HTML,,
Title,"Decision styles",HTML,,
QuestionText,"Briefly describe the maximizing and satisficing decision styles. If someone scores high on the neuroticism personality trait, which decision style is he or she most likely to adopt?",HTML,,
Points,1,,,
AnswerKey,"- Maximizing: trying to make the best choice<br>- Satisficing: making a good-enough choice<br>- If someone scores high on the neuroticism personality trait, he or she is most likely to adopt the maximizing decision style",HTML,,
Feedback,"- Maximizing: trying to make the best choice<br>- Satisficing: making a good-enough choice<br>- If someone scores high on the neuroticism personality trait, he or she is most likely to adopt the maximizing decision style",HTML,,
NewQuestion,WR,HTML,,
ID,Heymans example exam-2,HTML,,
Title,"Moral outrage",HTML,,
QuestionText,"We tend to overestimate how many people are morally outraged based on what we see on social media. Which two biases primarily contribute to this?",HTML,,
Points,1,,,
AnswerKey,"- The negativity bias is the tendency to seek out, or place more weight on, negative information, such as morally outraged content.<br>- The availability heuristic is the tendency to estimate the frequency or probability of something based on the ease with which examples or associations come to mind.<br>- By causing us to attend to morally outraged content, the negativity bias increases examples of moral outrage, which through the availability heuristic causes us to overestimate how many people are morally outraged.",HTML,,
Feedback,"- The negativity bias is the tendency to seek out, or place more weight on, negative information, such as morally outraged content.<br>- The availability heuristic is the tendency to estimate the frequency or probability of something based on the ease with which examples or associations come to mind.<br>- By causing us to attend to morally outraged content, the negativity bias increases examples of moral outrage, which through the availability heuristic causes us to overestimate how many people are morally outraged.",HTML,,
NewQuestion,WR,HTML,,
ID,Heymans example exam-3,HTML,,
Title,"Factors contribution to conspiracy theory",HTML,,
QuestionText,"During the lecture, we reviewed several cognitive and personality factors that contribute to conspiratorial thinking. Can you name three of these factors?",HTML,,
Points,1,,,
AnswerKey,"- 3:Should mention at least three of the following: seeing patterns in randomness; believing paranormal phenomena; attributing agency where it does not exist; believing in simple explanations for complex events; being narcissistic; being a man; having a low level of intelligence; having a low level of analytical thinking.",HTML,,
Feedback,"- 3:Should mention at least three of the following: seeing patterns in randomness; believing paranormal phenomena; attributing agency where it does not exist; believing in simple explanations for complex events; being narcissistic; being a man; having a low level of intelligence; having a low level of analytical thinking.",HTML,,
