NewQuestion,WR,HTML,,
ID,PSB3E-CP08-1,HTML,,
Title,"System 1 and 2 thinking and social intuitionism",HTML,,
QuestionText,"According to Jonathan Haidt’s social-intuitionist model of moral judgment, what is the role of System 1 and System 2 thinking in moral reasoning? And which System is most dominant according to this model?",HTML,,
Points,1,,,
AnswerKey,"- System 1 thinking refers to the role of intuitions (or: emotion)<br>- System 2 thinking refers to the role of reasoning (or: rational thought, or: deliberation)<br>- System 1 thinking (or: intuition, or: emotion) is more dominant than System 2 thinking (or: reasoning; or: rational thought, or: deliberation).",HTML,,
Feedback,"- System 1 thinking refers to the role of intuitions (or: emotion)<br>- System 2 thinking refers to the role of reasoning (or: rational thought, or: deliberation)<br>- System 1 thinking (or: intuition, or: emotion) is more dominant than System 2 thinking (or: reasoning; or: rational thought, or: deliberation).",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-2,HTML,,
Title,"Like a fashion model",HTML,,
QuestionText,"Imagine that one of your colleagues from the lectures looks like a fashion model. Based on this observation, you assume that he or she probably is a fashion model. Which heuristic underlies this assumption? Briefly explain this heuristic.",HTML,,
Points,1,,,
AnswerKey,"- The representativeness heuristic underlies this assumption.<br>- The representativeness heuristic means that we estimate the likelihood of someone belonging to a category (such as that of a fashion model) based on how much that person resembles the stereotype from that category (a stereotypical fashion model).",HTML,,
Feedback,"- The representativeness heuristic underlies this assumption.<br>- The representativeness heuristic means that we estimate the likelihood of someone belonging to a category (such as that of a fashion model) based on how much that person resembles the stereotype from that category (a stereotypical fashion model).",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-3,HTML,,
Title,"Anchoring and primacy",HTML,,
QuestionText,"What is anchoring, and what is the primacy effect? And what do they have in common?",HTML,,
Points,1,,,
AnswerKey,"- Anchoring is the tendency to take the first piece of information as the starting point<br>- The primacy effect is the tendency to better remember the first piece of information<br>- Both have in common that they correspond to an overreliance on the first piece of information",HTML,,
Feedback,"- Anchoring is the tendency to take the first piece of information as the starting point<br>- The primacy effect is the tendency to better remember the first piece of information<br>- Both have in common that they correspond to an overreliance on the first piece of information",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-4,HTML,,
Title,"Loss and risk aversion",HTML,,
QuestionText,"What is the difference between loss aversion and risk aversion?",HTML,,
Points,1,,,
AnswerKey,"- Loss aversion refers to the fact that we weigh losses more heavily than gains (or: the tendency to prefer avoiding losses over equivalent gains).<br>- Risk aversion refers to the tendency that we prefer certainty over uncertainty.",HTML,,
Feedback,"- Loss aversion refers to the fact that we weigh losses more heavily than gains (or: the tendency to prefer avoiding losses over equivalent gains).<br>- Risk aversion refers to the tendency that we prefer certainty over uncertainty.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-5,HTML,,
Title,"Impact bias",HTML,,
QuestionText,"What is impact bias? And how could impact bias prevent people from breaking up, even when they are unhappy in their relationship?",HTML,,
Points,1,,,
AnswerKey,"- Impact bias is the tendency to overestimate the impact of future events on our future feelings.<br>- Impact bias may prevent people from breaking up because they overestimate how bad the break-up will make them feel.",HTML,,
Feedback,"- Impact bias is the tendency to overestimate the impact of future events on our future feelings.<br>- Impact bias may prevent people from breaking up because they overestimate how bad the break-up will make them feel.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-6,HTML,,
Title,"Affective forecasting",HTML,,
QuestionText,"What is affective forecasting, and why is it important to consider it in end-of-life decisions?",HTML,,
Points,1,,,
AnswerKey,"- Affective forecasting refers to predictions about our own future emotional state.<br>- Healthy people may predict that they will prefer to die when they get sick. But when they actually get sick, they may not actually prefer to die.",HTML,,
Feedback,"- Affective forecasting refers to predictions about our own future emotional state.<br>- Healthy people may predict that they will prefer to die when they get sick. But when they actually get sick, they may not actually prefer to die.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-7,HTML,,
Title,"Prospect theory and probabilities",HTML,,
QuestionText,"According to prospect theory, do people over- or underestimate low probabilities? And does this differ between merely low probabilities (e.g. 10%) and extremely low probabilities (e.g. 0.01%)?",HTML,,
Points,1,,,
AnswerKey,"- Merely low probabilities are often overestimated.<br>- Extremely low probabilities are often interpreted as impossibilities.",HTML,,
Feedback,"- Merely low probabilities are often overestimated.<br>- Extremely low probabilities are often interpreted as impossibilities.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-8,HTML,,
Title,"Prospect theory and utilities",HTML,,
QuestionText,"When expressed in terms of utility in prospect theory, what does loss aversion reflect?",HTML,,
Points,1,,,
AnswerKey,"- Loss aversion means that negative utilities are weighed more heavily than positive utilities. (Or: that the value function is steeper for losses than for gains.)",HTML,,
Feedback,"- Loss aversion means that negative utilities are weighed more heavily than positive utilities. (Or: that the value function is steeper for losses than for gains.)",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-9,HTML,,
Title,"Value and utility",HTML,,
QuestionText,"What are the two main differences between expected value theory and expected utility theory?",HTML,,
Points,1,,,
AnswerKey,"- Expected value theory deals only with financial values, whereas expected utility also deals with non-financial values.<br>- Expected value theory does not consider any heuristics and biases, whereas expected utility theory considers risk aversion.",HTML,,
Feedback,"- Expected value theory deals only with financial values, whereas expected utility also deals with non-financial values.<br>- Expected value theory does not consider any heuristics and biases, whereas expected utility theory considers risk aversion.",HTML,,
NewQuestion,WR,HTML,,
ID,PSB3E-CP08-10,HTML,,
Title,"Models of choice, value, and utility",HTML,,
QuestionText,"What are the four models of choice, value, and utility that we considered in the lecture? Very briefly explain each model.",HTML,,
Points,1,,,
AnswerKey,"- Expected value theory: a normative model of choosing between different options. Each option has several of possible financial outcomes with a probability<br>- Expected utility theory: just like expected value theory, except that outcomes have a utility that doesn’t need to be financial, but can also subjective<br>- Multi-attribute utility theory: a normative model of choosing between different options. Each option has multiple attributes. Each attribute has a utility and a weight.<br>- Prospect theory: a descriptive (behavioral) model of choosing between different options. This is similar to expected utility theory, but also considers heuristics and biases.",HTML,,
